dataset,near_floor,ratio_floor,mean_floor,knee,base_knee,delta
iris,0.25,3.0,0.03,2,3,-1
iris,0.25,3.0,0.045,2,3,-1
iris,0.375,1.0,0.015,3,3,0
iris,0.375,1.0,0.03,3,3,0
iris,0.375,1.0,0.045,3,3,0
iris,0.375,2.0,0.015,3,3,0
iris,0.375,2.0,0.03,3,3,0
iris,0.375,2.0,0.045,3,3,0
iris,0.375,3.0,0.015,2,3,-1
iris,0.375,3.0,0.03,2,3,-1
iris,0.375,3.0,0.045,2,3,-1
moons,0.125,1.0,0.015,4,3,1
moons,0.125,1.0,0.03,4,3,1
moons,0.125,1.0,0.045,4,3,1
moons,0.125,2.0,0.015,4,3,1
moons,0.125,2.0,0.03,4,3,1
moons,0.125,2.0,0.045,4,3,1
moons,0.125,3.0,0.015,4,3,1
moons,0.125,3.0,0.03,4,3,1
moons,0.125,3.0,0.045,4,3,1
moons,0.25,1.0,0.015,3,3,0
moons,0.25,1.0,0.03,3,3,0
moons,0.25,1.0,0.045,3,3,0
moons,0.25,2.0,0.015,3,3,0
moons,0.25,2.0,0.03,3,3,0
moons,0.25,2.0,0.045,3,3,0
moons,0.25,3.0,0.015,2,3,-1
moons,0.25,3.0,0.03,2,3,-1
moons,0.25,3.0,0.045,2,3,-1
moons,0.375,1.0,0.015,2,3,-1
moons,0.375,1.0,0.03,2,3,-1
moons,0.375,1.0,0.045,2,3,-1
moons,0.375,2.0,0.015,2,3,-1
moons,0.375,2.0,0.03,2,3,-1
moons,0.375,2.0,0.045,2,3,-1
moons,0.375,3.0,0.015,2,3,-1
moons,0.375,3.0,0.03,2,3,-1
moons,0.375,3.0,0.045,2,3,-1
onebig,0.125,1.0,0.015,7,7,0
onebig,0.125,1.0,0.03,7,7,0
onebig,0.125,1.0,0.045,7,7,0
onebig,0.125,2.0,0.015,7,7,0
onebig,0.125,2.0,0.03,7,7,0
onebig,0.125,2.0,0.045,7,7,0
onebig,0.125,3.0,0.015,7,7,0
onebig,0.125,3.0,0.03,7,7,0
onebig,0.125,3.0,0.045,7,7,0
onebig,0.25,1.0,0.015,7,7,0
onebig,0.25,1.0,0.03,7,7,0
onebig,0.25,1.0,0.045,7,7,0
onebig,0.25,2.0,0.015,7,7,0
onebig,0.25,2.0,0.03,7,7,0
onebig,0.25,2.0,0.045,7,7,0
onebig,0.25,3.0,0.015,7,7,0
onebig,0.25,3.0,0.03,7,7,0
