dataset,view,family,q,d2,d2_ceiling,e_original,n,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,alignment,knn_acc,cluster_ari,oneclass_auc,krr_r2,qsvm_f1,last_alive,twonn,twonn_ceiling,pca95
intrinsic2,pca,fidelity,2,0.7203213491478936,2,20,32,0.29734489500951294,0.28790012084622324,0.9638655543244695,0.30512439387661794,3.1589265678778355,True,0.5956818932385799,0.3,0.11382536382536383,0.5,0.23589887777357343,0.6666666666666666,False,12.984317397156488,13,19
intrinsic2,pca,rbf,2,0.7203213491478936,2,20,32,0.46695663669042486,0.3015531732297069,0.9966772109404369,0.11409535257530139,8.735475972017733,True,0.8530857269852771,0.9,0.7581903276131046,1.0,0.9968769371579134,1.0,False,12.984317397156488,13,19
intrinsic2,pca,fidelity,3,0.7203213491478936,2,20,32,0.14191536831217622,0.1746661903856164,0.44889976375672036,0.14009877249793673,3.204166287490716,True,0.5704408611713,0.9,0.11336453458138325,0.7083333333333334,0.5543929340222303,0.8571428571428571,True,12.984317397156488,13,19
intrinsic2,pca,rbf,3,0.7203213491478936,2,20,32,0.5705464524028157,0.2579536798555607,0.9949840029495618,0.23440824410938088,4.244663009741572,True,0.8492295556423383,0.9,0.7581903276131046,1.0,0.9982649046952267,1.0,False,12.984317397156488,13,19
intrinsic2,pca,fidelity,4,0.7203213491478936,2,20,32,0.07059560937272574,0.10122530186006952,0.16825261733433955,0.10201598602145619,1.649276979972064,False,0.4512393732125974,0.6,-0.02729044834307992,0.5833333333333334,-0.0752159972999531,0.75,False,12.984317397156488,13,19
intrinsic2,pca,rbf,4,0.7203213491478936,2,20,32,0.6418247319030725,0.2219209628574962,0.9940190072307553,0.3357217212883325,2.9608421028469833,True,0.8365159384850235,0.9,0.6495126705653022,1.0,0.9989057092426239,1.0,False,12.984317397156488,13,19
intrinsic2,pca,fidelity,5,0.7203213491478936,2,20,32,0.03414423782105933,0.05103803226783315,0.05783168724753399,0.06172611595746437,0.9369079254457864,False,0.3626857700901835,0.5,-0.031721268850754034,0.5833333333333334,0.0656408175826777,0.75,False,12.984317397156488,13,19
intrinsic2,pca,rbf,5,0.7203213491478936,2,20,32,0.6930187892376548,0.1933961770637264,0.9929856960286182,0.41706363682601155,2.3808973220143543,True,0.823927839989038,0.9,0.6495126705653022,1.0,0.9992124234825951,1.0,False,12.984317397156488,13,19
intrinsic2,pca,fidelity,6,0.7203213491478936,2,20,32,0.01777952510179479,0.02767848526601073,0.02222061103911242,0.021122735984449862,1.051975987176604,False,0.31566104682754614,0.6,0.0,0.45833333333333337,0.04707047093582439,0.75,False,12.984317397156488,13,19
intrinsic2,pca,rbf,6,0.7203213491478936,2,20,32,0.7316805967157308,0.17115303458607098,0.9927208712157137,0.4817567089673713,2.060626977761402,True,0.8132166304578958,0.9,0.6495126705653022,1.0,0.9993621026332746,1.0,True,12.984317397156488,13,19
intrinsic2,pca,fidelity,7,0.7203213491478936,2,20,32,0.008643202456436246,0.016247482588834503,0.010835878175739834,0.005179513825132806,2.0920647268398778,False,0.28245213920407997,0.7,0.0,0.5833333333333334,0.09063856196723197,0.75,False,12.984317397156488,13,19
intrinsic2,pca,rbf,7,0.7203213491478936,2,20,32,0.7616832724777665,0.15325966750130884,0.9929329066994954,0.5343388188676411,1.8582458762844456,False,0.8043318960067801,0.9,0.6495126705653022,1.0,0.9995347314670375,1.0,False,12.984317397156488,13,19
