dataset,raw_name,e,d2,d2_ceiling,pca95,pca_knee,n,fdase_q,fdase_alive,fid_near,fid_far,near_far_ratio,mean_offdiag
intrinsic2,intrinsic2,20,0.7203213491478936,2,19,3,32,,,,,,
moons,moons,20,0.7203213491478936,2,19,3,32,,,,,,
iris,iris,4,1.915375598905324,2,2,3,32,3,True,0.43240023987534154,0.0955942173927274,4.523288663988138,0.15036367609282336
breast,breast_cancer,30,2.487611052827032,3,10,3,32,4,False,0.08301474614819847,0.07388252868539272,1.123604560175419,0.06515717681021545
diabetes,diabetes,10,5.822588369603908,6,8,3,32,2,True,0.9796715611061249,0.3151574076084993,3.108515102152099,0.292729942606376
wine,wine,13,6.475733430966397,7,10,2,32,8,False,0.010049828089193313,0.005644381849075518,1.7805010996623756,0.004972169058605066
digits,digits,64,0.9144513697699859,2,40,4,32,2,False,0.7987748051555416,0.4597093824438977,1.7375647216707024,0.29706276836192186
pendigits,pendigits,16,5.351224674332798,6,10,5,32,8,False,0.041186726669232517,0.0018052466828160142,22.815013073440532,0.006745753356425595
onebig,onebig_tiny,8,2.266151632941068,3,8,7,32,4,True,0.7522096286934269,0.06828708427060966,11.0154011805886,0.17698099110393922
