dataset,seed,d2,d2_ceiling,knee,n
breast,0,2.487611052827032,3,3,32
breast,1,2.487611052827032,3,,32
breast,2,2.487611052827032,3,,32
breast,3,2.487611052827032,3,3,32
breast,4,2.487611052827032,3,2,32
breast,5,2.487611052827032,3,4,32
breast,6,2.487611052827032,3,3,32
breast,7,2.487611052827032,3,3,32
breast,8,2.487611052827032,3,4,32
breast,9,2.487611052827032,3,4,32
moons,0,0.7203213491478936,2,3,32
moons,1,0.7203213491478936,2,2,32
moons,2,0.7203213491478936,2,3,32
moons,3,0.7203213491478936,2,3,32
moons,4,0.7203213491478936,2,2,32
moons,5,0.7203213491478936,2,2,32
moons,6,0.7203213491478936,2,3,32
moons,7,0.7203213491478936,2,3,32
moons,8,0.7203213491478936,2,3,32
moons,9,0.7203213491478936,2,3,32
