dataset,bandwidth,q,d2,d2_ceiling,mean_offdiag,std_offdiag,fid_near,fid_far,near_far_ratio,kernel_alive,n
breast,0.25,2,2.487611052827032,3,0.4950631859732055,0.3440115857016712,0.927808691243527,0.09944106838629392,9.330236554170089,True,32
breast,0.25,3,2.487611052827032,3,0.3197789858491997,0.3104659898473609,0.7651120234660198,0.04108406749584478,18.623083596661964,True,32
breast,0.25,4,2.487611052827032,3,0.1830887095596268,0.2453617556315547,0.391947130802061,0.019141705913011144,20.476081524982774,True,32
breast,0.25,5,2.487611052827032,3,0.12659730509740239,0.1965276425895241,0.3460428016766087,0.03002324672717472,11.525828795970876,True,32
breast,0.25,6,2.487611052827032,3,0.08272035279318068,0.1571241837319745,0.27791129405914905,0.005861479910374591,47.41316157499011,True,32
breast,0.25,7,2.487611052827032,3,0.04306684925878966,0.10367844222043862,0.11911748547364558,0.008030547501365564,14.833046620219866,False,32
breast,0.25,8,2.487611052827032,3,0.03072783751639248,0.0876584319828316,0.09107626886901185,0.0059779642519040225,15.235331800454215,False,32
breast,0.5,2,2.487611052827032,3,0.3618003350377624,0.2989379850416033,0.7640582825087094,0.14285886613901272,5.34834346063773,True,32
breast,0.5,3,2.487611052827032,3,0.20074594601823997,0.22334764552446038,0.49248504296351153,0.10697177238750633,4.603878499642686,True,32
breast,0.5,4,2.487611052827032,3,0.08986139273481662,0.14310455779719977,0.1837495564751998,0.036443530377356155,5.042035021650122,False,32
breast,0.5,5,2.487611052827032,3,0.045873052013093184,0.096930323855412,0.10798616274308774,0.019471164294337297,5.5459530365368455,False,32
breast,0.5,6,2.487611052827032,3,0.02501426440728658,0.07028515324977612,0.05891748944588647,0.005171277271693147,11.39321802920772,False,32
breast,0.5,7,2.487611052827032,3,0.011047510161840622,0.03724465826305656,0.012990791659275086,0.0029796896901351276,4.359780047661929,False,32
breast,0.5,8,2.487611052827032,3,0.0065474589303195375,0.03236889259889606,0.006958273196613048,0.0011922931249650794,5.83604237155762,False,32
breast,1.0,2,2.487611052827032,3,0.3025874273786449,0.2729183379412301,0.48781386022969625,0.33544824374061244,1.4542149775179671,False,32
breast,1.0,3,2.487611052827032,3,0.1389416726953531,0.17685458210342644,0.2686594544235869,0.12225241062117671,2.197580015465555,True,32
breast,1.0,4,2.487611052827032,3,0.07109624701637521,0.10759813245026084,0.10968598802959481,0.07130032575530304,1.5383658751578255,False,32
breast,1.0,5,2.487611052827032,3,0.034251810911008075,0.06299785005455018,0.03980755090968059,0.038838980080922396,1.0249381118335277,False,32
breast,1.0,6,2.487611052827032,3,0.018878066882138438,0.04562123667065568,0.015480256922934163,0.01569950753149981,0.986034555025007,False,32
breast,1.0,7,2.487611052827032,3,0.00833157069924706,0.020634489723043485,0.009291980361147813,0.008610441177832887,1.0791526437773609,False,32
breast,1.0,8,2.487611052827032,3,0.004616671080822378,0.015015060911682684,0.004104795260842148,0.006480618749220851,0.633395578367522,False,32
breast,2.0,2,2.487611052827032,3,0.2631009213718394,0.23132267540950716,0.33148774515664203,0.25121054399808657,1.3195614319404003,False,32
breast,2.0,3,2.487611052827032,3,0.13747351812303285,0.1491258275341843,0.20213952531648255,0.1521635588755939,1.3284358410790593,False,32
breast,2.0,4,2.487611052827032,3,0.07006738761392349,0.09663821984747592,0.10000710414748237,0.046711028914471875,2.1409741226337764,False,32
breast,2.0,5,2.487611052827032,3,0.03400317858068496,0.049313878821355614,0.023089790647831683,0.025742583477715623,0.8969492385183343,False,32
breast,2.0,6,2.487611052827032,3,0.016816112065214592,0.026867410087154816,0.015106673785912707,0.012373561551506103,1.2208832293782004,False,32
breast,2.0,7,2.487611052827032,3,0.007398116206142556,0.012191389170078898,0.01056354663798618,0.005248794762481278,2.0125661444213994,False,32
breast,2.0,8,2.487611052827032,3,0.0038457797294214426,0.007272658660023537,0.005034084467998809,0.0021249106706114386,2.369080516006003,False,32
